0x00	0x8140	# Space
0x01	0x8260	# Ａ
0x02	# Ｂ
0x03	# Ｃ
0x04	# Ｄ
0x05	# Ｅ
0x06	# Ｆ
0x07	# Ｇ
0x08	# Ｈ
0x09	# Ｉ
0x0a	# Ｊ
0x0b	# Ｋ
0x0c	# Ｌ
0x0d	# Ｍ
0x0e	# Ｎ
0x0f	# Ｏ
0x10	# Ｐ
0x11	# Ｑ
0x12	# Ｒ
0x13	# Ｓ
0x14	# Ｔ
0x15	# Ｕ
0x16	# Ｖ
0x17	# Ｗ
0x18	# Ｘ
0x19	# Ｙ
0x1a	# Ｚ
0x1b	# ┼
0x1c	# └
0x1d	# ┘
0x1e	# ├
0x1f	# ┴
0x20	# ０
0x21	# １
0x22	# ２
0x23	# ３
0x24	# ４
	# ５
	# ６
	# ７
	# ８
	# ９
	# －
	# ＝
	#  ；／．，
	# 
	# 
	# 
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# SP
	# 　
	# 　
	# ■
	# ◆
	# ←
	# 　
	# ●
	# ○
	# ？
	# 　
	# 　
	# 　
	# 　
	# 　
	# ：
	# ↑
	# ＜
	# ［
	# 　
	# ］
	# ＠
	# 　
	# ＞
	# 　
	# ＼
	# 　
	# 　
	# ┌
	# ┐
	# ┤
	# ┬
	# π
	# ！
	# ”
	# ＃
	# ＄
	# ％
	# ＆
	# ’
	# （
	# ）
	# ＋
	# ＊
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# 　
	# SP
	# チ
	# コ
	# ソ
	# シ
	# イ
	# ハ
	# キ
	# ク
	# ニ
	# マ
	# ノ
	# リ
	# モ
	# ミ
	# ラ
	# セ
	# タ
	# ス
	# ト
	# カ
	# ナ
	# ヒ
	# テ
	# サ
	# ン
	# ツ
	# ロ
	# ケ
	# 「
	# ァ
	# ャ
	# ワ
	# ヌ
	# フ
	# ア
